trade_id,strategy_name,symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl_R,pnl_usd,exit_reason,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
T0147,ATR_ETH_3m,ETHUSDT,short,2025-09-06 14:33:00,2025-09-06 14:42:00,4291.5608,4298.22,-1.1,-15.3877,SL,weekend,range,range_W36_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W36_2025,unknown,unknown,unknown,unknown,unknown
T0148,ATR_ETH_3m,ETHUSDT,short,2025-09-06 17:24:00,2025-09-06 18:27:00,4273.5526,4275.11,-0.24,-6.4832,CH_IN,weekend,range,range_W36_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W36_2025,unknown,unknown,unknown,unknown,unknown
T0149,ATR_ETH_3m,ETHUSDT,long,2025-09-07 07:30:00,2025-09-07 13:21:00,4297.0197,4291.45,-0.565,-10.0276,SL,weekend,range,range_W36_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W36_2025,unknown,unknown,unknown,unknown,unknown
T0150,ATR_ETH_3m,ETHUSDT,long,2025-09-09 13:42:00,2025-09-09 13:54:00,4356.5756,4345.51,-0.839,-22.7998,SL,overlap,range,range_W37_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W37_2025,unknown,unknown,unknown,unknown,unknown
T0151,BAW_ETH_5m,ETHUSDT,long,2025-09-11 12:35:00,2025-09-11 13:35:00,4410.021,4418.4,0.536,10.5,TIME,overlap,range,range_W37_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W37_2025,unknown,unknown,unknown,unknown,unknown
T0152,ATR_ETH_3m,ETHUSDT,long,2025-09-12 13:54:00,2025-09-12 17:15:00,4536.6936,4582.37,1.68,67.3872,TP2,overlap,trend_up,trend_up_20250912,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W37_2025,unknown,unknown,unknown,unknown,unknown
T0153,BAW_ETH_5m,ETHUSDT,long,2025-09-13 13:55:00,2025-09-13 14:00:00,4684.4684,4666.9284,-1.545,-31.8322,EXT,weekend,trend_up,trend_up_20250913,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W37_2025,unknown,unknown,unknown,unknown,unknown
T0154,BTP_ETH_30m,ETHUSDT,long,2025-09-14 12:30:00,2025-09-14 14:30:00,4631.0531,4602.8065,-1.082,-49.4954,SL,weekend,trend_up,trend_up_20250914,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W37_2025,unknown,unknown,unknown,unknown,unknown
T0155,BTP_ETH_30m,ETHUSDT,long,2025-09-14 15:30:00,2025-09-15 01:30:00,4580.678,4616.23,1.19,54.4597,TIME,weekend,trend_up,trend_up_20250914,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W37_2025,unknown,unknown,unknown,unknown,unknown
T0156,BAW_ETH_5m,ETHUSDT,short,2025-09-17 02:50:00,2025-09-17 03:35:00,4534.3265,4505.2091,1.564,44.4116,TP2,Asia,range,range_W38_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0157,BTP_ETH_30m,ETHUSDT,long,2025-09-17 05:30:00,2025-09-17 06:30:00,4512.8412,4505.2119,0.152,15.7386,TP2,Asia,range,range_W38_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0158,ATR_ETH_3m,ETHUSDT,long,2025-09-17 05:54:00,2025-09-17 10:12:00,4514.6314,4488.6,-0.958,-38.9994,SL,Asia,range,range_W38_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0159,BTP_ETH_30m,ETHUSDT,long,2025-09-17 18:00:00,2025-09-17 19:30:00,4495.7295,4485.0187,0.135,24.4409,TP2,NY,range,range_W38_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0160,BAW_ETH_5m,ETHUSDT,short,2025-09-18 03:15:00,2025-09-18 04:15:00,4628.9571,4613.55,0.96,21.2131,TIME,Asia,trend_up,trend_up_20250918,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W38_2025,unknown,unknown,unknown,unknown,unknown
T0161,ATR_ETH_3m,ETHUSDT,long,2025-09-18 13:30:00,2025-09-18 13:42:00,4585.7785,4571.95,-1.206,-23.2263,SL,overlap,trend_up,trend_up_20250918,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W38_2025,unknown,unknown,unknown,unknown,unknown
T0162,ATR_ETH_3m,ETHUSDT,short,2025-09-19 14:45:00,2025-09-19 18:09:00,4499.66,4441.98,1.673,87.2869,TP2,overlap,range,range_W38_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0163,BAW_ETH_5m,ETHUSDT,short,2025-09-20 14:55:00,2025-09-20 15:10:00,4485.0015,4495.05,-2.82,-20.5536,3BAR,weekend,range,range_W38_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W38_2025,unknown,unknown,unknown,unknown,unknown
T0164,ATR_ETH_3m,ETHUSDT,short,2025-09-22 00:30:00,2025-09-22 06:00:00,4377.0622,4085.94,3.067,457.1126,TP2,Asia,range,range_W39_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W39_2025,unknown,unknown,unknown,unknown,unknown
