Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
252,Exit short,2026-03-17 15:25,TIME,2332.88,11.1131,25908.30342,-17.23,-0.07,181.81,0.70,-57.68,-0.22,2937.01,29.37
252,Entry short,2026-03-17 14:40,空,2331.33,11.1131,25908.30342,-17.23,-0.07,181.81,0.70,-57.68,-0.22,2937.01,29.37
253,Exit short,2026-03-17 23:00,TIME,2339.9,11.0746,25873.92022,-39.54,-0.15,56.92,0.22,-51.39,-0.20,2897.48,28.97
253,Entry short,2026-03-17 22:15,空,2336.33,11.0746,25873.92022,-39.54,-0.15,56.92,0.22,-51.39,-0.20,2897.48,28.97
254,Exit short,2026-03-18 05:20,TIME,2333.82,11.0195,25794.77619,77.25,0.30,78.02,0.30,-17.85,-0.07,2974.73,29.75
254,Entry short,2026-03-18 04:35,空,2340.83,11.0195,25794.77619,77.25,0.30,78.02,0.30,-17.85,-0.07,2974.73,29.75
255,Exit short,2026-03-19 10:40,EXT,2182.46,11.9251,25949.2561,-76.8,-0.30,3.94,0.02,-92.9,-0.36,2897.93,28.98
255,Entry short,2026-03-19 10:30,空,2176.02,11.9251,25949.2561,-76.8,-0.30,3.94,0.02,-92.9,-0.36,2897.93,28.98
256,Exit long,2026-03-22 09:00,EXT,2091.34,12.2676,25795.6959,-139.97,-0.54,9.08,0.04,-139.97,-0.54,2757.95,27.58
256,Entry long,2026-03-22 08:45,多,2102.75,12.2676,25795.6959,-139.97,-0.54,9.08,0.04,-139.97,-0.54,2757.95,27.58
257,Exit short,2026-03-23 19:00,EXT,2154.13,11.8898,25515.86749,-96.31,-0.38,9.51,0.04,-96.31,-0.38,2661.65,26.62
257,Entry short,2026-03-23 18:40,空,2146.03,11.8898,25515.86749,-96.31,-0.38,9.51,0.04,-96.31,-0.38,2661.65,26.62
258,Exit long,2026-03-24 02:25,TIME,2146.33,11.8348,25323.15826,78.23,0.31,108.29,0.43,-42.37,-0.17,2739.87,27.40
258,Entry long,2026-03-24 01:40,多,2139.72,11.8348,25323.15826,78.23,0.31,108.29,0.43,-42.37,-0.17,2739.87,27.40
259,Exit short,2026-03-24 05:55,TIME,2135.22,11.8779,25479.63963,117.71,0.46,171.4,0.67,-2.38,-0.01,2857.58,28.58
259,Entry short,2026-03-24 05:10,空,2145.13,11.8779,25479.63963,117.71,0.46,171.4,0.67,-2.38,-0.01,2857.58,28.58
260,Exit long,2026-03-24 18:05,EXT,2117.93,12.0739,25715.11296,-143.44,-0.56,11.83,0.05,-143.44,-0.56,2714.15,27.14
260,Entry long,2026-03-24 17:40,多,2129.81,12.0739,25715.11296,-143.44,-0.56,11.83,0.05,-143.44,-0.56,2714.15,27.14
261,Exit short,2026-03-24 20:25,TIME,2119.55,11.9978,25428.2573,-1.68,-0.01,28.91,0.11,-93.34,-0.37,2712.47,27.12
261,Entry short,2026-03-24 19:40,空,2119.41,11.9978,25428.2573,-1.68,-0.01,28.91,0.11,-93.34,-0.37,2712.47,27.12
262,Exit short,2026-03-25 18:25,TIME,2167.7,11.6784,25424.92786,109.66,0.43,156.02,0.61,-6.54,-0.03,2822.13,28.22
262,Entry short,2026-03-25 17:40,空,2177.09,11.6784,25424.92786,109.66,0.43,156.02,0.61,-6.54,-0.03,2822.13,28.22
263,Exit short,2026-03-26 00:30,TIME,2170.12,11.7948,25644.13621,48,0.19,61.22,0.24,-25.59,-0.10,2870.13,28.70
263,Entry short,2026-03-25 23:45,空,2174.19,11.7948,25644.13621,48,0.19,61.22,0.24,-25.59,-0.10,2870.13,28.70
264,Exit short,2026-03-27 07:05,TIME,2061.31,12.5032,25740.21281,-32.76,-0.13,44.64,0.17,-41.39,-0.16,2837.37,28.37
264,Entry short,2026-03-27 06:20,空,2058.69,12.5032,25740.21281,-32.76,-0.13,44.64,0.17,-41.39,-0.16,2837.37,28.37
265,Exit short,2026-03-30 13:45,EXT,2071.25,12.4239,25674.73478,-58.27,-0.23,34.79,0.14,-67.59,-0.26,2779.11,27.79
265,Entry short,2026-03-30 13:30,空,2066.56,12.4239,25674.73478,-58.27,-0.23,34.79,0.14,-67.59,-0.26,2779.11,27.79
266,Exit short,2026-04-01 03:45,TIME,2092.17,12.1147,25558.01915,212.01,0.83,238.3,0.93,-0.48,0.00,2991.11,29.91
266,Entry short,2026-04-01 03:00,空,2109.67,12.1147,25558.01915,212.01,0.83,238.3,0.93,-0.48,0.00,2991.11,29.91
267,Exit short,2026-04-02 19:25,TIME,2064.54,12.5737,25982.16794,23.26,0.09,153.9,0.59,-57.59,-0.22,3014.37,30.14
267,Entry short,2026-04-02 18:40,空,2066.39,12.5737,25982.16794,23.26,0.09,153.9,0.59,-57.59,-0.22,3014.37,30.14
268,Exit short,2026-04-04 22:00,TIME,2059.29,12.5614,26028.72817,161.16,0.62,169.45,0.65,-7.91,-0.03,3175.54,31.76
268,Entry short,2026-04-04 21:15,空,2072.12,12.5614,26028.72817,161.16,0.62,169.45,0.65,-7.91,-0.03,3175.54,31.76
269,Exit short,2026-04-06 05:05,TIME,2132.31,12.3511,26350.94834,14.57,0.06,52.12,0.20,-91.89,-0.35,3190.11,31.90
269,Entry short,2026-04-06 04:20,空,2133.49,12.3511,26350.94834,14.57,0.06,52.12,0.20,-91.89,-0.35,3190.11,31.90
270,Exit short,2026-04-11 12:15,TIME,2239.14,11.7774,26380.19826,8.95,0.03,43.69,0.17,-47.93,-0.18,3199.06,31.99
270,Entry short,2026-04-11 11:30,空,2239.9,11.7774,26380.19826,8.95,0.03,43.69,0.17,-47.93,-0.18,3199.06,31.99
271,Exit short,2026-04-12 23:30,TIME,2204.11,11.9647,26398.07655,26.56,0.10,27.88,0.11,-124.19,-0.47,3225.62,32.26
271,Entry short,2026-04-12 22:45,空,2206.33,11.9647,26398.07655,26.56,0.10,27.88,0.11,-124.19,-0.47,3225.62,32.26
272,Exit long,2026-04-18 21:30,TIME,2347.85,11.2677,26451.03843,3.83,0.01,78.65,0.30,-71.78,-0.27,3229.45,32.29
272,Entry long,2026-04-18 20:45,多,2347.51,11.2677,26451.03843,3.83,0.01,78.65,0.30,-71.78,-0.27,3229.45,32.29
273,Exit long,2026-04-19 07:35,TIME,2334.32,11.3494,26458.74273,34.39,0.13,68.89,0.26,-43.92,-0.17,3263.84,32.64
273,Entry long,2026-04-19 06:50,多,2331.29,11.3494,26458.74273,34.39,0.13,68.89,0.26,-43.92,-0.17,3263.84,32.64
274,Exit short,2026-04-19 16:10,TIME,2329.69,11.3366,26527.644,116.88,0.44,166.99,0.63,-33.9,-0.13,3380.72,33.81
274,Entry short,2026-04-19 15:25,空,2340,11.3366,26527.644,116.88,0.44,166.99,0.63,-33.9,-0.13,3380.72,33.81
275,Exit short,2026-04-27 02:35,TIME,2367.95,11.3006,26761.40288,2.15,0.01,135.83,0.51,-77.41,-0.29,3382.87,33.83
275,Entry short,2026-04-27 01:50,空,2368.14,11.3006,26761.40288,2.15,0.01,135.83,0.51,-77.41,-0.29,3382.87,33.83
276,Exit short,2026-05-04 03:50,EXT,2333.7,11.5081,26765.53898,-90.91,-0.34,4.37,0.02,-96.09,-0.36,3291.96,32.92
276,Entry short,2026-05-04 03:40,空,2325.8,11.5081,26765.53898,-90.91,-0.34,4.37,0.02,-96.09,-0.36,3291.96,32.92
277,Exit long,2026-05-05 17:05,TIME,2378.54,11.1766,26583.8784,0.11,0.00,79.02,0.30,-117.58,-0.44,3292.07,32.92
277,Entry long,2026-05-05 16:20,多,2378.53,11.1766,26583.8784,0.11,0.00,79.02,0.30,-117.58,-0.44,3292.07,32.92
