Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
189,Entry long,2026-01-05 16:30,IMP_L,3179.84,4.0103,12752.11235,122.12,0.96,200.78,1.57,-95.38,-0.75,4295.39,42.95
190,Exit short,2026-01-09 02:36,TP1,3092.93,0.4606,1429.35695,3.9,0.27,11.45,0.80,-0.88,-0.06,4295.43,42.95
190,Entry short,2026-01-09 02:33,IMP_S,3103.25,0.4606,1429.35695,3.9,0.27,11.45,0.80,-0.88,-0.06,4295.43,42.95
191,Exit short,2026-01-09 03:06,SL,3121.66,4.1459,12865.76418,-84.07,-0.65,103.06,0.80,-94.24,-0.73,4215.22,42.15
191,Entry short,2026-01-09 02:33,IMP_S,3103.25,4.1459,12865.76418,-84.07,-0.65,103.06,0.80,-94.24,-0.73,4215.22,42.15
192,Exit long,2026-01-11 17:12,CH_IN,3115.39,4.5609,14215.00264,-14.55,-0.10,28.3,0.20,-43.4,-0.31,4200.67,42.01
192,Entry long,2026-01-11 16:09,DLY_L,3116.71,4.5609,14215.00264,-14.55,-0.10,28.3,0.20,-43.4,-0.31,4200.67,42.01
193,Exit long,2026-01-13 16:54,TP1,3175.5,0.4503,1420.003038,9.07,0.64,10.62,0.75,-1.15,-0.08,4205.91,42.06
193,Entry long,2026-01-13 16:33,IMP_L,3153.46,0.4503,1420.003038,9.07,0.64,10.62,0.75,-1.15,-0.08,4205.91,42.06
194,Exit long,2026-01-13 17:00,TP2,3186.56,4.0529,12780.65803,126.44,0.99,170.16,1.33,-10.36,-0.08,4336.19,43.36
194,Entry long,2026-01-13 16:33,IMP_L,3153.46,4.0529,12780.65803,126.44,0.99,170.16,1.33,-10.36,-0.08,4336.19,43.36
195,Exit long,2026-01-14 15:15,TP1,3316.11,0.4332,1433.606088,2.07,0.14,6.61,0.46,-1.12,-0.08,4334.39,43.34
195,Entry long,2026-01-14 15:06,IMP_L,3309.34,0.4332,1433.606088,2.07,0.14,6.61,0.46,-1.12,-0.08,4334.39,43.34
196,Exit long,2026-01-14 15:36,TP2,3324.14,3.8988,12902.45479,49.94,0.39,77.19,0.60,-16.89,-0.13,4388.2,43.88
196,Entry long,2026-01-14 15:06,IMP_L,3309.34,3.8988,12902.45479,49.94,0.39,77.19,0.60,-16.89,-0.13,4388.2,43.88
197,Exit short,2026-01-16 15:00,SL,3309.85,4.3592,14387.88834,-49.05,-0.34,27.46,0.19,-55.49,-0.39,4339.15,43.39
197,Entry short,2026-01-16 14:36,IMP_S,3300.58,4.3592,14387.88834,-49.05,-0.34,27.46,0.19,-55.49,-0.39,4339.15,43.39
198,Exit long,2026-01-18 15:15,TP1,3338.29,0.4313,1433.766277,5.18,0.36,9.24,0.64,-1.4,-0.10,4340.45,43.40
198,Entry long,2026-01-18 14:39,IMP_L,3324.29,0.4313,1433.766277,5.18,0.36,9.24,0.64,-1.4,-0.10,4340.45,43.40
199,Exit long,2026-01-18 15:18,TP2,3340,3.8821,12905.22621,53.23,0.41,83.13,0.64,-12.65,-0.10,4397.55,43.98
199,Entry long,2026-01-18 14:39,IMP_L,3324.29,3.8821,12905.22621,53.23,0.41,83.13,0.64,-12.65,-0.10,4397.55,43.98
200,Exit short,2026-01-19 15:09,TP1,3209.36,0.4482,1439.743896,0.45,0.03,5.07,0.35,-4.05,-0.28,4394.11,43.94
200,Entry short,2026-01-19 14:21,IMP_S,3212.28,0.4482,1439.743896,0.45,0.03,5.07,0.35,-4.05,-0.28,4394.11,43.94
201,Exit short,2026-01-19 17:54,SL,3222.5,4.0338,12957.69506,-49.01,-0.38,45.61,0.35,-60,-0.46,4348.98,43.49
201,Entry short,2026-01-19 14:21,IMP_S,3212.28,4.0338,12957.69506,-49.01,-0.38,45.61,0.35,-60,-0.46,4348.98,43.49
202,Exit short,2026-01-20 17:24,SL,3024.55,4.7664,14348.86589,-75.98,-0.53,5.66,0.04,-152.83,-1.06,4273,42.73
202,Entry short,2026-01-20 16:18,DLY_S,3010.42,4.7664,14348.86589,-75.98,-0.53,5.66,0.04,-152.83,-1.06,4273,42.73
203,Exit long,2026-01-23 07:24,SL,2957.73,4.8028,14272.7209,-75.88,-0.53,8.4,0.06,-81.51,-0.57,4197.12,41.97
203,Entry long,2026-01-23 07:03,IMP_L,2971.75,4.8028,14272.7209,-75.88,-0.53,8.4,0.06,-81.51,-0.57,4197.12,41.97
204,Exit long,2026-01-24 16:51,SL,2956.45,4.7919,14196.91421,-38.41,-0.27,16.06,0.11,-40.87,-0.29,4158.71,41.59
204,Entry long,2026-01-24 16:03,IMP_L,2962.69,4.7919,14196.91421,-38.41,-0.27,16.06,0.11,-40.87,-0.29,4158.71,41.59
205,Exit long,2026-01-26 16:09,TP1,2936.37,0.4851,1415.662479,7.92,0.56,14.47,1.02,-5.79,-0.41,4162.81,41.63
205,Entry long,2026-01-26 15:33,IMP_L,2918.29,0.4851,1415.662479,7.92,0.56,14.47,1.02,-5.79,-0.41,4162.81,41.63
206,Exit long,2026-01-26 16:39,SL,2892,4.3666,12743.00511,-122.41,-0.96,134.64,1.06,-149.45,-1.17,4044.22,40.44
206,Entry long,2026-01-26 15:33,IMP_L,2918.29,4.3666,12743.00511,-122.41,-0.96,134.64,1.06,-149.45,-1.17,4044.22,40.44
207,Exit long,2026-01-28 11:12,TP1,3029.88,0.4665,1404.34227,8.25,0.59,8.73,0.62,-2.21,-0.16,4048.68,40.49
207,Entry long,2026-01-28 10:36,IMP_L,3010.38,0.4665,1404.34227,8.25,0.59,8.73,0.62,-2.21,-0.16,4048.68,40.49
208,Exit long,2026-01-28 11:15,TP2,3022.62,4.1987,12639.68251,43.79,0.35,115.79,0.92,-19.87,-0.16,4096.27,40.96
208,Entry long,2026-01-28 10:36,IMP_L,3010.38,4.1987,12639.68251,43.79,0.35,115.79,0.92,-19.87,-0.16,4096.27,40.96
209,Exit short,2026-01-30 16:27,TP1,2709.14,0.5165,1409.43553,9.32,0.66,11.09,0.79,-1.98,-0.14,4101.78,41.02
209,Entry short,2026-01-30 16:18,IMP_S,2728.82,0.5165,1409.43553,9.32,0.66,11.09,0.79,-1.98,-0.14,4101.78,41.02
210,Exit short,2026-01-30 16:30,TP2,2700.36,4.6492,12686.82994,124.74,0.98,181.33,1.43,-17.8,-0.14,4230.33,42.30
210,Entry short,2026-01-30 16:18,IMP_S,2728.82,4.6492,12686.82994,124.74,0.98,181.33,1.43,-17.8,-0.14,4230.33,42.30
211,Exit short,2026-02-01 12:39,SL,2407.99,5.9293,14230.26071,-55.99,-0.39,145.98,1.03,-75.18,-0.53,4174.35,41.74
211,Entry short,2026-02-01 11:33,IMP_S,2399.99,5.9293,14230.26071,-55.99,-0.39,145.98,1.03,-75.18,-0.53,4174.35,41.74
212,Exit short,2026-02-03 17:30,TP1,2255.2,0.6227,1417.308789,12.15,0.86,22.15,1.56,-3.02,-0.21,4182.67,41.83
212,Entry short,2026-02-03 17:09,IMP_S,2276.07,0.6227,1417.308789,12.15,0.86,22.15,1.56,-3.02,-0.21,4182.67,41.83
213,Exit short,2026-02-03 18:06,TP2,2229.78,5.6048,12756.91714,251.87,1.97,293.62,2.30,-27.14,-0.21,4438.36,44.38
213,Entry short,2026-02-03 17:09,IMP_S,2276.07,5.6048,12756.91714,251.87,1.97,293.62,2.30,-27.14,-0.21,4438.36,44.38
214,Exit short,2026-02-04 19:27,SL,2122.43,6.7586,14438.26201,84.97,0.59,418.76,2.90,-126.32,-0.87,4523.34,45.23
214,Entry short,2026-02-04 17:27,DLY_S,2136.28,6.7586,14438.26201,84.97,0.59,418.76,2.90,-126.32,-0.87,4523.34,45.23
215,Exit short,2026-02-11 16:06,TP1,1915.92,0.7471,1452.295161,20.05,1.38,20.79,1.43,-11.13,-0.77,4539.46,45.39
215,Entry short,2026-02-11 15:48,IMP_S,1943.91,0.7471,1452.295161,20.05,1.38,20.79,1.43,-11.13,-0.77,4539.46,45.39
216,Exit short,2026-02-11 22:24,SL,1972.37,6.724,13070.85084,-199.26,-1.52,283.13,2.17,-222.99,-1.71,4344.12,43.44
216,Entry short,2026-02-11 15:48,IMP_S,1943.91,6.724,13070.85084,-199.26,-1.52,283.13,2.17,-222.99,-1.71,4344.12,43.44
217,Exit long,2026-02-13 21:12,SL,2051.43,7.0737,14344.04886,158.49,1.10,315.43,2.20,-20.57,-0.14,4502.61,45.03
217,Entry long,2026-02-13 16:48,DLY_L,2027.8,7.0737,14344.04886,158.49,1.10,315.43,2.20,-20.57,-0.14,4502.61,45.03
218,Exit short,2026-02-16 13:12,CH_IN,1975.44,7.3745,14502.54421,-74.06,-0.51,73.3,0.51,-92.25,-0.64,4428.55,44.29
218,Entry short,2026-02-16 12:09,IMP_S,1966.58,7.3745,14502.54421,-74.06,-0.51,73.3,0.51,-92.25,-0.64,4428.55,44.29
219,Exit short,2026-02-17 15:42,TP1,1960.76,0.7309,1442.701583,8.72,0.60,14.94,1.04,-5.13,-0.36,4433.38,44.33
