strategy_name,regime,field,total_trades,known_count,unknown_count,coverage_rate,readiness_status,dominant_value,dominant_value_share,distribution_json,informational_only
BTP_BTC_1H,range,structure_state,20,20,0,1.0,PASS,range,1.0,"{""range"": 20}",True
BTP_BTC_1H,range,volatility_state,20,20,0,1.0,PASS,high,0.5,"{""high"": 10, ""medium"": 6, ""low"": 4}",True
BTP_BTC_1H,range,oi_state,20,20,0,1.0,PASS,flat,0.65,"{""flat"": 13, ""rising"": 4, ""falling"": 3}",True
BTP_BTC_1H,range,funding_state,20,20,0,1.0,PASS,positive,0.85,"{""positive"": 17, ""negative"": 3}",True
BTP_BTC_1H,range,etf_flow_state,20,20,0,1.0,PASS,outflow,0.5,"{""outflow"": 10, ""inflow"": 9, ""neutral"": 1}",True
BTP_BTC_1H,trend_down,session,18,18,0,1.0,PASS,NY,0.3889,"{""NY"": 7, ""weekend"": 4, ""London"": 4, ""Asia"": 2, ""overlap"": 1}",True
BTP_BTC_1H,trend_down,structure_state,18,18,0,1.0,PASS,trend_down,1.0,"{""trend_down"": 18}",True
BTP_BTC_1H,trend_down,volatility_state,18,18,0,1.0,PASS,low,0.4444,"{""low"": 8, ""high"": 6, ""medium"": 4}",True
BTP_BTC_1H,trend_down,oi_state,18,18,0,1.0,PASS,flat,0.7778,"{""flat"": 14, ""rising"": 3, ""falling"": 1}",True
BTP_BTC_1H,trend_down,funding_state,18,18,0,1.0,PASS,positive,0.7222,"{""positive"": 13, ""negative"": 5}",True
BTP_BTC_1H,trend_down,etf_flow_state,18,18,0,1.0,PASS,outflow,0.5,"{""outflow"": 9, ""neutral"": 5, ""inflow"": 4}",True
BTP_BTC_1H,trend_up,session,7,7,0,1.0,PASS,weekend,0.2857,"{""weekend"": 2, ""Asia"": 2, ""overlap"": 1, ""London"": 1, ""NY"": 1}",True
BTP_BTC_1H,trend_up,structure_state,7,7,0,1.0,PASS,trend_up,1.0,"{""trend_up"": 7}",True
BTP_BTC_1H,trend_up,volatility_state,7,7,0,1.0,PASS,high,0.5714,"{""high"": 4, ""low"": 2, ""medium"": 1}",True
BTP_BTC_1H,trend_up,oi_state,7,7,0,1.0,PASS,flat,0.5714,"{""flat"": 4, ""falling"": 3}",True
